latitude,longitude
30.040091, 31.199522
30.040112, 31.199577
30.040119, 31.199602
30.040123, 31.199610
30.040146, 31.199636
30.040150, 31.199678
30.040167, 31.199739
30.040152, 31.199783
30.040112, 31.199841
30.040117, 31.199898
30.040125, 31.199968
30.040146, 31.200022
30.040159, 31.200075
30.040186, 31.200119
30.040176, 31.200159
30.040180, 31.200214
30.040171, 31.200268
30.040169, 31.200312
30.040154, 31.200363
30.040136, 31.200420
30.040152, 31.200459
30.040155, 31.200483
30.040167, 31.200529
30.040161, 31.200542
30.040241, 31.200539
